serial,brand,gender,price,total_sale,seller_reviews,year,volume
288,Breguet,Men's watch/Unisex,2474175.0,3529.0,2000.0,2022-01-01,High Sale
296,Venezianico,Men's watch/Unisex,50325.0,342.0,299.0,2024-01-01,Low Sale
298,Rotary,Women's watch,13282.5,14626.0,7424.0,2024-01-01,High Sale
301,Rado,Men's watch/Unisex,100897.5,364.0,244.0,2019-01-01,Low Sale
308,Yema,Men's watch/Unisex,86625.0,14642.0,448.0,2019-01-01,High Sale
314,Technos,Men's watch/Unisex,107910.0,980.0,750.0,1968-01-01,Medium Sale
316,Formex,Men's watch/Unisex,125647.5,1072.0,940.0,2024-01-01,Medium Sale
317,TW Steel,Men's watch/Unisex,17737.5,14626.0,7424.0,2024-01-01,High Sale
319,Enicar,Men's watch/Unisex,164917.5,14642.0,448.0,1970-01-01,High Sale
328,Franck Muller,Men's watch/Unisex,659587.5,407.0,308.0,2008-01-01,Low Sale
329,Traser,Men's watch/Unisex,70867.5,14626.0,7424.0,2024-01-01,High Sale
333,Tissot,Women's watch,49995.0,576.0,319.0,2023-01-01,Low Sale
338,Mühle Glashütte,Men's watch/Unisex,267217.5,231.0,185.0,2024-01-01,Low Sale
349,Movado,Men's watch/Unisex,160462.5,253.0,180.0,1955-01-01,Low Sale
352,Rolex,Men's watch/Unisex,1072500.0,544.0,399.0,2019-01-01,Low Sale
362,Meistersinger,Men's watch/Unisex,102465.0,228.0,165.0,2018-01-01,Low Sale
363,Zeppelin,Men's watch/Unisex,24832.5,2328.0,1742.0,2024-01-01,Medium Sale
365,Lanco,Men's watch/Unisex,32092.5,14642.0,448.0,1960-01-01,High Sale
370,Benzinger,Men's watch/Unisex,909150.0,566.0,448.0,2024-01-01,Low Sale
374,Alpina,Men's watch/Unisex,151057.5,2053.0,1451.0,2024-01-01,Medium Sale
379,Jean Marcel,Men's watch/Unisex,271837.5,1072.0,940.0,2024-01-01,Medium Sale
381,Seiko,Men's watch/Unisex,112777.5,2260.0,1329.0,2021-01-01,Medium Sale
388,Blancpain,Men's watch/Unisex,1225537.5,2222.0,1454.0,2024-01-01,Medium Sale
397,Union Glashütte,Men's watch/Unisex,225060.0,2481.0,1599.0,2024-01-01,Medium Sale
399,Romain Jerome,Men's watch/Unisex,433125.0,212.0,189.0,2022-01-01,Low Sale
401,Eterna,Men's watch/Unisex,249892.5,313.0,257.0,2023-01-01,Low Sale
402,Tecnotempo,Men's watch/Unisex,70867.5,14642.0,448.0,2024-01-01,High Sale
403,Panerai,Men's watch/Unisex,445087.5,615.0,435.0,2022-01-01,Low Sale
411,Louis Moinet,Men's watch/Unisex,623040.0,566.0,448.0,2011-01-01,Low Sale
414,Glycine,Men's watch/Unisex,40095.0,272.0,222.0,2022-01-01,Low Sale
416,Orient,Men's watch/Unisex,22357.5,948.0,443.0,2023-01-01,Medium Sale
422,Cuervo y Sobrinos,Men's watch/Unisex,200970.0,14925.0,10162.0,2024-01-01,High Sale
423,Nivada,Men's watch/Unisex,82912.5,1072.0,940.0,2024-01-01,Medium Sale
424,Poljot,Men's watch/Unisex,40012.5,2053.0,1420.0,2015-01-01,Medium Sale
425,Franck Muller,Women's watch,197587.5,830.0,555.0,2006-01-01,Medium Sale
427,NOMOS,Men's watch/Unisex,109147.5,949.0,868.0,2024-01-01,Medium Sale
430,Certina,Men's watch/Unisex,69547.5,722.0,548.0,2023-01-01,Medium Sale
431,Chopard,Men's watch/Unisex,284625.0,3087.0,2339.0,2024-01-01,High Sale
