serial,brand,movement,case_material,bracelet_material,gender,shape,crystal,dial,bracelet_color,clasp,year
12484,Meistersinger,Manual winding,steel,Animal skin,Men's watch/Unisex,Circular,Sapphire crystal,Champagne,Brown,Buckle,2021-01-01
12488,Zenith,Automatic,steel,Steel,Men's watch/Unisex,Circular,Sapphire crystal,Blue,Steel,Buckle,2021-01-01
12495,Dior,Quartz,steel,Steel,Women's watch,Rectangular,Sapphire crystal,White,Steel,Jewelry clasp,2024-01-01
12497,Squale,Automatic,steel,Rubber,Men's watch/Unisex,Circular,Sapphire crystal,Blue,Blue,Buckle,2024-01-01
12500,Bomberg,Quartz,steel,Leather,Men's watch/Unisex,Circular,Sapphire crystal,Black,Silver,Buckle,2021-01-01
12506,Glashütte Original,Automatic,steel,Rubber,Men's watch/Unisex,Circular,Sapphire crystal,Blue,Black,Buckle,2023-01-01
12509,Jacques Lemans,Quartz,steel,Steel,Men's watch/Unisex,Circular,Sapphire crystal,Blue,Silver,Double-fold clasp,2024-01-01
12513,Benzinger,Manual winding,steel,Animal skin,Men's watch/Unisex,Circular,Sapphire crystal,White,Black,Fold clasp,2024-01-01
12518,Wittnauer,Quartz,steel,Steel,Men's watch/Unisex,Circular,Sapphire crystal,Champagne,Gold,Double-fold clasp,2024-01-01
12520,Philip Watch,Automatic,steel,Steel,Men's watch/Unisex,Circular,Mineral Glass,Red,Steel,Fold clasp,1970-01-01
12525,Maurice Lacroix,Automatic,steel,Leather,Men's watch/Unisex,Circular,Sapphire crystal,Blue,Black,Fold clasp,2024-01-01
12529,Norqain,Automatic,steel,Leather,Men's watch/Unisex,Circular,Sapphire crystal,Black,Brown,Buckle,2024-01-01
12534,Wyler Vetta,Automatic,steel,Steel,Men's watch/Unisex,Rectangular,Plexiglass,Blue,Steel,Fold clasp,1961-01-01
12536,Lang & Heyne,Manual winding,steel,Animal skin,Men's watch/Unisex,Circular,Sapphire crystal,Blue,Black,Buckle,2024-01-01
12542,Baume & Mercier,Quartz,steel,Steel,Women's watch,Circular,Sapphire crystal,Silver,Silver,Fold clasp,2024-01-01
12545,Davosa,Automatic,steel,Steel,Men's watch/Unisex,Circular,Sapphire crystal,Black,Steel,Double-fold clasp,2024-01-01
12549,Cuervo y Sobrinos,Automatic,steel,Leather,Men's watch/Unisex,Circular,Sapphire crystal,Black,Black,Fold clasp,2022-01-01
12556,Raymond Weil,Quartz,steel,Steel,Men's watch/Unisex,Circular,Sapphire crystal,Black,Silver,Fold clasp,2024-01-01
12560,Venezianico,Automatic,steel,Leather,Men's watch/Unisex,Circular,Sapphire crystal,Blue,Blue,Buckle,2022-01-01
12562,Jacob & Co.,Automatic,steel,Rubber,Men's watch/Unisex,Circular,Sapphire crystal,Black,Black,Double-fold clasp,2024-01-01
12565,Orient,Automatic,steel,Steel,Men's watch/Unisex,Circular,Mineral Glass,Red,Gold,Fold clasp,2024-01-01
12568,Edox,Automatic,steel,Rubber,Men's watch/Unisex,Circular,Sapphire crystal,Black,Black,Fold clasp,2024-01-01
12569,Arnold & Son,Manual winding,gold,Leather,Men's watch/Unisex,Circular,Sapphire crystal,Blue,Blue,Fold clasp,2024-01-01
12579,Glycine,Quartz,steel,Leather,Men's watch/Unisex,Circular,Sapphire crystal,Black,Black,Buckle,2019-01-01
12582,Versace,Quartz,steel,Animal skin,Men's watch/Unisex,Circular,Sapphire crystal,Silver,Black,Buckle,2024-01-01
12584,Breitling,Automatic,steel,Steel,Men's watch/Unisex,Circular,Sapphire crystal,Red,Silver,Buckle,2024-01-01
12588,Concord,Quartz,steel,gold,Women's watch,Circular,Sapphire crystal,Green,Gold,Fold clasp,2024-01-01
12599,Alexander Shorokhoff,Manual winding,steel,Animal skin,Men's watch/Unisex,Circular,Sapphire crystal,Blue,Blue,Buckle,2024-01-01
12610,Bulgari,Quartz,steel,gold,Women's watch,Circular,Sapphire crystal,Blue,Gold,Double-fold clasp,2022-01-01
12613,Formex,Automatic,Titanium,Leather,Men's watch/Unisex,Rectangular,Sapphire crystal,Red,Brown,Fold clasp,2024-01-01
12615,Bulova,Automatic,steel,Steel,Men's watch/Unisex,Circular,Mineral Glass,Black,Steel,Fold clasp,2024-01-01
12616,Eberhard & Co.,Quartz,steel,Steel,Women's watch,Circular,Sapphire crystal,White,Steel,Fold clasp,2024-01-01
12623,Breitling,Automatic,steel,Leather,Men's watch/Unisex,Circular,Sapphire crystal,Blue,Black,Fold clasp,2023-01-01
12624,Union Glashütte,Automatic,steel,Textile,Men's watch/Unisex,Circular,Sapphire crystal,Green,Silver,Buckle,2021-01-01
12627,Mühle Glashütte,Automatic,steel,Animal skin,Men's watch/Unisex,Circular,Sapphire crystal,Champagne,Silver,Double-fold clasp,2010-01-01
12628,Tissot,Quartz,steel,Leather,Men's watch/Unisex,Circular,Sapphire crystal,Black,Black,Buckle,2023-01-01
12637,Formex,Automatic,Carbon,Leather,Men's watch/Unisex,Rectangular,Sapphire crystal,Grey,Black,Fold clasp,2024-01-01
12645,Mondaine,Quartz,steel,Textile,Men's watch/Unisex,Circular,Sapphire crystal,Black,Black,Buckle,2015-01-01
12646,HD3,Automatic,Titanium,Rubber,Men's watch/Unisex,Rectangular,Sapphire crystal,Black,Black,Double-fold clasp,2024-01-01
12657,Auricoste,Automatic,steel,Textile,Men's watch/Unisex,Circular,Sapphire crystal,Black,Gold,Buckle,2024-01-01
12659,Lip,Manual winding,gold,Leather,Women's watch,Rectangular,Plexiglass,Silver,Black,Buckle,1924-01-01
12661,Concord,Quartz,steel,Steel,Men's watch/Unisex,Circular,Sapphire crystal,Black,Steel,Fold clasp,2024-01-01
12664,Glashütte Original,Automatic,steel,Animal skin,Men's watch/Unisex,Circular,Sapphire crystal,Silver,Black,Buckle,2013-01-01
12668,Rotary,Quartz,steel,Steel,Women's watch,Circular,Sapphire crystal,Silver,Gold,Double-fold clasp,2024-01-01
12669,ZRC,Automatic,steel,Leather,Men's watch/Unisex,Circular,Sapphire crystal,Brown,Brown,Buckle,2024-01-01
12670,Glashütte Original,Automatic,gold,Animal skin,Men's watch/Unisex,Circular,Sapphire crystal,Silver,Brown,Fold clasp,2024-01-01
12673,Omega,Manual winding,steel,Steel,Men's watch/Unisex,Circular,Plexiglass,Black,Steel,Fold clasp,1999-01-01
12676,Zodiac,Automatic,steel,Steel,Men's watch/Unisex,Circular,Plexiglass,Silver,Silver,Fold clasp,1980-01-01
12679,Chanel,Quartz,Ceramic,Ceramic,Women's watch,Circular,Sapphire crystal,White,White,"Fold clasp, hidden",2024-01-01
12681,Mido,Automatic,steel,Steel,Men's watch/Unisex,Circular,Sapphire crystal,Blue,Steel,Double-fold clasp,2023-01-01
12682,Anonimo,Automatic,Bronze,Leather,Men's watch/Unisex,Circular,Sapphire crystal,Bronze,Green,Buckle,2018-01-01
12683,Davosa,Automatic,steel,Leather,Men's watch/Unisex,Circular,Sapphire crystal,Silver,Black,Buckle,2014-01-01
12694,Panerai,Manual winding,steel,Leather,Men's watch/Unisex,Circular,Sapphire crystal,Black,Brown,Buckle,2024-01-01
12699,Panerai,Automatic,steel,Rubber,Men's watch/Unisex,Circular,Sapphire crystal,Black,Black,Buckle,2019-01-01
12702,Revue Thommen,Quartz,steel,Leather,Men's watch/Unisex,Circular,Mineral Glass,Black,Black,Buckle,1990-01-01
12704,Philip Watch,Automatic,steel,Steel,Men's watch/Unisex,Circular,Mineral Glass,Blue,Steel,Fold clasp,1970-01-01
12705,ZRC,Automatic,steel,Steel,Men's watch/Unisex,Circular,Sapphire crystal,Black,Steel,Jewelry clasp,2024-01-01
12706,Longines,Automatic,steel,Leather,Men's watch/Unisex,Circular,Sapphire crystal,Silver,Brown,Fold clasp,2024-01-01
12708,Squale,Automatic,steel,Rubber,Men's watch/Unisex,Circular,Sapphire crystal,Yellow,Black,Buckle,2000-01-01
12714,Ulysse Nardin,Automatic,gold,Animal skin,Men's watch/Unisex,Circular,Sapphire crystal,Black,Black,Fold clasp,2016-01-01
12716,Yema,Automatic,Titanium,Leather,Men's watch/Unisex,Circular,Sapphire crystal,Blue,Blue,Buckle,2024-01-01
12717,Cyma,Manual winding,gold,Leather,Men's watch/Unisex,Circular,Plexiglass,White,Brown,Jewelry clasp,1915-01-01
12719,Bulova,Automatic,steel,Leather,Men's watch/Unisex,Circular,Mineral Glass,Grey,Black,Buckle,2023-01-01
12724,Eterna,Automatic,steel,Steel,Men's watch/Unisex,Circular,Sapphire crystal,Black,Steel,Double-fold clasp,2024-01-01
12734,Bell & Ross,Automatic,steel,Steel,Men's watch/Unisex,Circular,Sapphire crystal,Blue,Steel,Double-fold clasp,2024-01-01
12741,Jacob & Co.,Automatic,steel,Leather,Men's watch/Unisex,Circular,Sapphire crystal,Black,Black,Double-fold clasp,2024-01-01
12743,Oris,Automatic,steel,Rubber,Men's watch/Unisex,Circular,Sapphire crystal,Grey,Red,Buckle,2024-01-01
12748,Corum,Manual winding,gold,Animal skin,Men's watch/Unisex,Rectangular,Sapphire crystal,Blue,Black,Fold clasp,2024-01-01
12749,Dodane,Manual winding,steel,Rubber,Men's watch/Unisex,Circular,Plexiglass,Black,Black,Buckle,1960-01-01
12750,Cuervo y Sobrinos,Automatic,steel,Steel,Men's watch/Unisex,Circular,Sapphire crystal,Blue,Steel,"Fold clasp, hidden",2024-01-01
12751,ZRC,Automatic,steel,Rubber,Men's watch/Unisex,Circular,Sapphire crystal,Black,Black,Buckle,2024-01-01
12754,Union Glashütte,Automatic,steel,Leather,Men's watch/Unisex,Circular,Sapphire crystal,White,Brown,Buckle,2003-01-01
12762,Venezianico,Automatic,Bronze,Rubber,Men's watch/Unisex,Circular,Sapphire crystal,Grey,Silver,Buckle,2024-01-01
12764,Rotary,Quartz,steel,Steel,Men's watch/Unisex,Circular,Sapphire crystal,Blue,Gold,Fold clasp,2024-01-01
12767,Bruno Söhnle,Quartz,steel,Leather,Men's watch/Unisex,Circular,Sapphire crystal,Black,Black,Double-fold clasp,2024-01-01
12774,Mondaine,Quartz,Plastic,Textile,Women's watch,Circular,Mineral Glass,White,Red,Buckle,2020-01-01
12775,Universal Genève,Automatic,gold,Leather,Men's watch/Unisex,Rectangular,Mineral Glass,Gold,Brown,Buckle,1960-01-01
12779,Benzinger,Manual winding,steel,Animal skin,Men's watch/Unisex,Circular,Sapphire crystal,Silver (solid),Black,Double-fold clasp,2024-01-01
12782,Montblanc,Automatic,steel,Animal skin,Men's watch/Unisex,Circular,Sapphire crystal,Blue,Blue,Fold clasp,2024-01-01
12783,De Bethune,Manual winding,Titanium,Animal skin,Men's watch/Unisex,Circular,Sapphire crystal,Blue,Blue,Buckle,2024-01-01
12785,Girard Perregaux,Automatic,steel,Steel,Men's watch/Unisex,Circular,Sapphire crystal,Silver,Silver,Fold clasp,2020-01-01
12787,TW Steel,Quartz,steel,Steel,Men's watch/Unisex,Circular,Sapphire crystal,Black,Steel,Double-fold clasp,2015-01-01
12791,Porsche Design,Automatic,Titanium,Leather,Men's watch/Unisex,Circular,Sapphire crystal,Brown,Brown,Buckle,2024-01-01
12794,Steinhart,Manual winding,steel,Leather,Men's watch/Unisex,Circular,Sapphire crystal,White,Brown,Buckle,2022-01-01
12797,Rebellion,Manual winding,Titanium,Rubber,Men's watch/Unisex,Circular,Sapphire crystal,Blue,Gold,Fold clasp,2024-01-01
12802,Chanel,Automatic,Ceramic,Ceramic,Men's watch/Unisex,Circular,Sapphire crystal,Black,Black,Fold clasp,2013-01-01
12805,Chopard,Automatic,steel,Rubber,Men's watch/Unisex,Circular,Sapphire crystal,Black,Black,Double-fold clasp,2011-01-01
12814,Certina,Quartz,steel,Leather,Men's watch/Unisex,Rectangular,Sapphire crystal,Black,Black,Buckle,2015-01-01
12816,Zeppelin,Automatic,steel,Steel,Men's watch/Unisex,Circular,Mineral Glass,Blue,Silver,Double-fold clasp,2024-01-01
12817,KHS,Quartz,steel,Textile,Men's watch/Unisex,Circular,Mineral Glass,Black,Black,Buckle,2024-01-01
12822,Maurice Lacroix,Automatic,steel,Leather,Men's watch/Unisex,Circular,Sapphire crystal,Black,Brown,Buckle,2003-01-01
12825,Blancpain,Automatic,gold,Animal skin,Men's watch/Unisex,Circular,Sapphire crystal,Silver,Black,Buckle,1998-01-01
12830,Zelos,Automatic,Titanium,Titanium,Men's watch/Unisex,Circular,Sapphire crystal,Grey,Silver,Fold clasp,2024-01-01
12834,Seiko,Automatic,steel,Steel,Men's watch/Unisex,Circular,Sapphire crystal,Red,Steel,Fold clasp,2024-01-01
12836,Patek Philippe,Automatic,steel,Steel,Men's watch/Unisex,Circular,Sapphire crystal,Blue,Steel,Fold clasp,2015-01-01
12837,N.B. Yäeger,Manual winding,steel,Textile,Men's watch/Unisex,Circular,Sapphire crystal,Blue,Black,Buckle,2024-01-01
12838,Sector,Quartz,steel,Animal skin,Men's watch/Unisex,Circular,Mineral Glass,Grey,Black,Buckle,2024-01-01
12839,Vostok,Automatic,steel,Silicon,Men's watch/Unisex,Circular,Mineral Glass,Black,Silver,Buckle,2024-01-01
